Rank,Name,Ticker,Market cap,Price,Circulating supply,id
1,Bitcoin,BTC,1156485845063.09,61318.96,18860168,bitcoin
2,Ethereum,ETH,506663636947.23,4288.07,118156446,ethereum
3,Binance Coin,BNB,87464591883.46,524.36,166801148,binancecoin
4,Tether,USDT,70286558907.95,1.0004,70260109912,tether
5,Cardano,ADA,65378981994.98,1.965,33271310416,cardano
6,Solana,SOL,61003141449.57,202.42,301367632,solana
7,XRP,XRP,52339587880.1,1.1132,47015237181,ripple
8,Polkadot,DOT,42211209861.97,42.74,987579315,polkadot
9,SHIBA INU,SHIB,36919669978.72,6.724e-05,549095509738353,shiba-inu
10,Dogecoin,DOGE,36972572649.67,0.2802,131929723836,dogecoin
11,USD Coin,USDC,33171892682.46,0.9997,33181046821,usd-coin
12,Terra,LUNA,17185456898.79,42.89,400688919,terra-luna-2
13,Uniswap,UNI,15685350733.04,24.99,627596089,uniswap
14,Avalanche,AVAX,14161740161.71,64.29,220286577,avalanche-2
15,Wrapped Bitcoin,WBTC,14041557835.31,61380.59,228762,wrapped-bitcoin
16,Chainlink,LINK,13868352159.95,29.99,462509554,chainlink
17,Binance USD,BUSD,13615664431.83,0.9997,13619701327,binance-usd
18,Litecoin,LTC,13211081241.41,191.82,68873583,litecoin
19,Polygon,MATIC,13126444169.14,1.935,6783681381,matic-network
20,Algorand,ALGO,11326966159.61,1.8287,6194033655,algorand
21,Bitcoin Cash,BCH,11261546530.93,596.24,18887650,bitcoin-cash
22,Stellar,XLM,9017563593.04,0.3729,24185449483,stellar
23,VeChain,VET,8536648429.69,0.1327,64315576989,vechain
24,Axie Infinity,AXS,8423030495.41,138.29,60907500,axie-infinity
25,Cosmos,ATOM,8340085701.14,37.26,223815498,cosmos
26,Internet Computer,ICP,7855251747.9,45.03,174431259,internet-computer
27,Filecoin,FIL,7654848298.84,64.41,118845023,filecoin
28,Fantom,FTM,7293466953.31,2.8658,2545006273,fantom
29,TRON,TRX,7275355636.81,0.1015,71659657369,tron
30,THETA,THETA,7187647072.53,7.1876,1000000000,theta-token
31,FTX Token,FTT,7134166402.7,59.38,120148849,ftx-token
32,Ethereum Classic,ETC,7093849243.73,54.33,130580588,ethereum-classic
33,Dai,DAI,6474310632.05,0.9999,6474951714,dai
34,Bitcoin BEP2,BTCB,6442221563.94,61297.73,105097,binance-bitcoin
35,Hedera,HBAR,6113176367.96,0.407,15018941582,hedera-hashgraph
36,Tezos,XTZ,5470400929.27,6.3226,865215780,tezos
37,NEAR Protocol,NEAR,5381570711.78,10.16,529643442,near
38,Elrond,EGLD,5329252388.26,270.94,19669188,elrond-erd-2
39,Decentraland,MANA,5255062400.3,2.8923,1816939591,decentraland
40,Crypto.com Coin,CRO,5323855117.53,0.2107,25263013692,crypto-com-chain
41,Monero,XMR,4930586920.39,273.71,18014104,monero
42,The Graph,GRT,4897925013.57,1.0386,4715735200,the-graph
43,EOS,EOS,4457183750.51,4.6327,962120247,eos
44,Flow,FLOW,4306121775.1,13.97,308132424,flow
45,PancakeSwap,CAKE,4201376779.59,17.68,237692846,pancakeswap-token
46,Aave,AAVE,4156685691.39,314.17,13230559,aave
47,IOTA,MIOTA,4101725775.1,1.4757,2779530283,iota
48,Klaytn,KLAY,4012635387.06,1.5935,2518187405,klay-token
49,THORChain,RUNE,3806725526.75,14.8,257210215,thorchain
50,eCash,XEC,3445174014.52,0.0001824,18884173423313,ecash
51,Quant,QNT,3423410036.06,283.57,12072738,quant-network
52,Harmony,ONE,3269079045.2,0.3033,10777987196,harmony
53,UNUS SED LEO,LEO,3195441250.33,3.3497,953954130,leo-token
54,Neo,NEO,3149593532.36,44.65,70538831,neo
55,Bitcoin SV,BSV,3125617002.06,165.51,18884720,bsv
56,Kusama,KSM,3126230871.56,369.09,8470098,kusama
57,Helium,HNT,2936875028.48,29.04,101121740,helium
58,Waves,WAVES,2816046406.92,26.42,106576516,waves
59,TerraUSD,UST,2789856661.55,1.0023,2783437235,terrausd-wormhole
60,BitTorrent,BTT,2720166401.7,0.004122,659952625000,bittorrent
61,Chiliz,CHZ,2481981306.3,0.4178,5941076945,chiliz
62,Maker,MKR,2398936190.39,2419.92,991328,maker
63,Holo,HOT,2426198475.47,0.01403,172895870443,holotoken
64,Stacks,STX,2367066637.73,1.8471,1281502597,blockstack
65,Zcash,ZEC,2166401272.22,166.81,12987306,zcash
66,Enjin Coin,ENJ,2140097210.01,2.565,834340660,enjincoin
67,Compound,COMP,2081578407.64,345.84,6018895,compound-coin
68,Amp,AMP,2046054125.16,0.04845,42227702186,amp-token
69,Celo,CELO,2037565319.59,6.2327,326913145,celo
70,Dash,DASH,2004743893.28,192.59,10409466,dash
71,OMG Network,OMG,1878777651.63,13.4,140245398,omisego
72,Theta Fuel,TFUEL,1873361156.29,0.3534,5301214400,theta-fuel
73,Curve DAO Token,CRV,1830237531.09,4.4263,413487283,curve-dao-token
74,Arweave,AR,1830551632.92,54.82,33394701,arweave
75,NEM,XEM,1722021160.19,0.1913,8999999999,nem
76,Huobi Token,HT,1599661461.69,9.8849,161829295,huobi-token
77,ICON,ICX,1565050262.94,2.3264,672735872,icon
78,Decred,DCR,1542961810.63,114.68,13454651,decred
79,Nexo,NEXO,1550325858.8,2.7684,560000011,nexo
80,Qtum,QTUM,1559719497.55,15.78,98824775,qtum
81,Basic Attention Token,BAT,1478135145.01,0.9908,1491829868,basic-attention-token
82,KuCoin Token,KCS,1451733866.98,18.12,80118638,kucoin-shares
83,The Sandbox,SAND,1419333269.79,1.5907,892246119,the-sandbox
84,SushiSwap,SUSHI,1379936393.75,10.84,127244443,sushi
85,Zilliqa,ZIL,1341514838.98,0.1124,11939832818,zilliqa
86,OKB,OKB,1294859232.5,21.58,60000000,okb
87,Secret,SCRT,1273122851.72,8.4979,149815729,secret
88,XDC Network,XDC,1258960957.61,0.1023,12305012699,xdce-crowd-sale
89,Revain,REV,1260552752.5,0.01482,85061485690,revain
90,Mina,MINA,1248313328.75,4.4528,280345946,mina-protocol
91,yearn.finance,YFI,1248554198.38,34078.38,36638,yearn-finance
92,Dogelon Mars,ELON,1270325062.36,2.28e-06,557392033328217,dogelon-mars
93,Ravencoin,RVN,1207407750.29,0.1209,9987210000,ravencoin
94,TrueUSD,TUSD,1184575600.27,0.9998,1184842851,true-usd
95,Synthetix,SNX,1155483940.67,10.06,114841533,havven
96,Bitcoin Gold,BTG,1148123199.1,65.55,17513924,bitcoin-gold
97,Audius,AUDIO,1119504788.02,2.2209,504078968,audius
98,Perpetual Protocol,PERP,1128600846.8,16.43,68700000,perpetual-protocol
99,Celsius,CEL,1069469994.75,4.4773,238863520,celsius-degree-token
100,renBTC,RENBTC,1045851101.14,61364.39,17043,renbtc
101,Horizen,ZEN,1022569631.38,87.49,11688206,zencash
102,Ren,REN,1027498158.1,1.0299,997664051,republic-protocol
103,Bancor,BNT,1007669358.15,4.2461,237316522,bancor
104,0x,ZRX,1000770988.62,1.1839,845341602,0x
105,Siacoin,SC,1001754129.55,0.02037,49184302992,shibchain
106,Serum,SRM,965379097.67,7.2459,133231781,serum
107,Ankr,ANKR,980766916.15,0.1201,8162899378,ankr
108,Telcoin,TEL,958414749.85,0.01751,54727110195,telcoin
109,Pax Dollar,USDP,945298074.26,0.9996,945642940,usdp
110,Ontology,ONT,911985693.87,1.042,875249524,ontology
111,IOST,IOST,898855679.13,0.04966,18099719631,iostoken
112,dYdX,DYDX,854317551.6,15.16,56337466,dydx
113,DigiByte,DGB,851760196.67,0.05754,14802454499,digibyte
114,Nano,NANO,830472469.92,6.2325,133248297,nanomatic
115,Voyager Token,VGX,832616131.35,2.9898,278482214,ethos
116,Loopring,LRC,831361929.87,0.6288,1322208249,loopring
117,1inch Network,1INCH,827016299.99,4.5853,180362122,1inch
118,Moonriver,MOVR,802993734.86,371.81,2159672,moonriver
119,Raydium,RAY,783102418.97,10.6,73874054,raydium
120,WAX,WAXP,711773160.64,0.3934,1809207834,wax
121,Mdex,MDX,752054064.43,1.0106,744156806,mdex
122,Celer Network,CELR,739121598.5,0.1221,6051936993,celer-network
123,UMA,UMA,723424105.91,11.37,63648166,uma
124,SKALE Network,SKL,721189672.52,0.3411,2114148528,skale
125,Dent,DENT,694555403.65,0.007015,99007791203,dent
126,Gnosis,GNO,676376551.8,449.54,1504587,gnosis
127,IoTeX,IOTX,684390895.45,0.07173,9540779324,iotex
128,Storj,STORJ,699441044.62,1.9918,351162917,storj
129,WOO Network,WOO,659903934.73,1.2231,539522574,woo-network
130,NuCypher,NU,642962233.03,0.9352,687500000,nucypher
131,SwissBorg,CHSB,628744868.1,0.6287,1000000000,swissborg
132,WINkLink,WIN,615266710.73,0.0008031,766149999999,wink
133,Neutrino USD,USDN,605311077.53,0.9642,627786953,
134,Livepeer,LPT,598842159.87,28.29,21164655,livepeer
135,Fetch.ai,FET,582967225.43,0.7813,746113681,fetch-ai
136,Nervos Network,CKB,573874769.5,0.0202,28410184680,nervos-network
137,COTI,COTI,557526104.91,0.6418,868672118,coti
138,Golem,GLM,545230587.0,0.5452,1000000000,golem
139,Ocean Protocol,OCEAN,539836688.73,0.8805,613099141,ocean-protocol
140,Kava,KAVA,538675281.46,5.8908,91443180,kava
141,Polymath,POLY,538731623.94,0.7073,761698803,polymath
142,Reserve Rights,RSR,526272536.94,0.03999,13159998943,reserve-rights-token
143,DigitalBits,XDB,520667892.58,0.6701,777009768,digitalbits
144,Function X,FX,505828046.64,1.2382,408520357,fx-coin
145,GateToken,GT,480742786.48,6.2864,76473244,gatechain-token
146,Injective Protocol,INJ,473749423.83,10.85,43655553,injective-protocol
147,Swipe,SXP,470628742.78,2.4414,192768789,swipe
148,Alpha Finance Lab,ALPHA,455625987.92,1.0208,446330126,alphacoin
149,Lisk,LSK,452594621.99,3.5112,128900445,lisk
150,WazirX,WRX,455639754.76,1.4347,317591918,wazirx
151,Reef,REEF,451065812.42,0.03046,14807552172,reef
